name,email,Phone,Studentid,Department
BHASKAR BEHERA,rcocks0@merriam-webster.com,4321640773,23110009,Electrical
ASHUTOSH PATRA,phaskell1@seattletimes.com,6637055506,23110200,E&IE
SHUVENDU KUMAR MOHAPATRA,mwethered2@uol.com.br,6241561336,23110235,Computer Science
SAMBIT MALLICK,brikard3@mapy.cz,3291883296,23110229,BioTech
GULSAN MATHAN,thollibone4@t-online.de,8493325376,23110211,BioTech
SOUMESH SUMAN MURMU,hdrewet5@friendfeed.com,4527235365,23110239,IT
SAMBIT MISHRA,lembury6@parallels.com,8644026262,23110230,IT
JYOTIRAJ JENA,tqueree7@who.int,9816420522,23130003,BioTech
ADITYA DASH,ahyett8@kickstarter.com,1166853196,23110254,Textile
PRITAM KUMAR SAHU,scalver9@chronoengine.com,1726785704,23130005,IT
GIRIJA SHANKAR BEHERA,jvedishcheva@goo.ne.jp,5662069950,23110014,Computer Science
AADARSH MISHRA,gmcclounanb@icio.us,1024597844,23110001,Civil
G. ADWEITA PRADHAN,rmotionc@domainmarket.com,9658273332,23110087,Civil
AMIT KUMAR DHIR DEO SAMANTA,mrangeleyd@mysql.com,9352574909,23110051,Textile
UJWAL KUMAR SWAIN,ctrattone@mozilla.org,2382568350,23110249,Computer Science
ARPITA PATTNAIK,pmorrallf@accuweather.com,6798604652,23110058,IT
STHITIPRAGYAN BEHERA,cmacgillivrayg@ocn.ne.jp,5269656738,23110035,Textile
MADHUSMITA SAHOO,wgrethamh@vk.com,2552679428,23130004,IT
SOUMYA RANJAN SENAPATI,gcovenyi@ehow.com,3441443655,23110241,Mechanical
SOUMIK DWIBEDY,jrupprechtj@jiathis.com,9122392668,23110240,Computer Science
ASHUTOSH PADHY,plusheyk@pcworld.com,5631163448,23110260,Civil
AMAN KUMAR SINGH,clindll@mozilla.org,9355438832,23110049,BioTech
CH PRERANA SUBUDHI,slegravem@printfriendly.com,1626616512,23110077,E&IE
NEELAM MISRA,mquoitn@sun.com,4151281767,23110218,Civil
SOUMEN NANDA,rcollinwoodo@cloudflare.com,8919647428,23140013,Electrical
PRATEEKSHYA SWAIN,ntrundellp@gov.uk,3795350522,23140007,IT
CHINMAYA BARIK,wgeachq@naver.com,4055342841,23110079,Textile
ANOUSHKA,bsuettr@webeden.co.uk,3633944419,23110006,BioTech
LIPAKSHI PANDA,qmathiots@wiley.com,3319773919,23110215,Computer Science
ARPITA BEHERA,asottellt@csmonitor.com,2947441207,23110057,E&IE
BHAGYASRI SAHOO,bbeeu@wix.com,9685340054,23110072,Civil
CHINMAYEE DAS,hbroadisv@army.mil,2579679633,23110263,E&IE
PRACHYA SUMAN DAS,ggrishuninw@princeton.edu,8441349435,23110220,Mechanical
AYUSH BHANJA DEO,gjohantgesx@mapy.cz,3605374270,23110065,IT
BIBHU RANJAN SWAIN,jshiptony@plala.or.jp,1869610471,23110073,AIML
SMRUTI SOURAV SAHOO,ppigeonz@redcross.org,2173515370,23110236,BioTech
CHINMAY CHIRA SUNDAR KAR,skirwan10@accuweather.com,3767711707,23110078,AIML
ROSHNI MISHRA,aennion11@google.co.jp,3632147419,23140010,AIML
DIBVYANSU SWAIN,dcahen12@nationalgeographic.com,1274611060,23110082,Civil
BIDYANSHU OJHA,bsybbe13@aboutads.info,9729814107,23140003,E&IE
PRATYUSH KUMAR PANDA,ssamudio14@wikispaces.com,6466246887,23110024,Civil
ARUNA UDAY DASH,lhamshaw15@unc.edu,4873283757,23110059,Electrical
DIBYA DISHA SAHOO,eblease16@usnews.com,3484545688,23110266,Ai & Robotics
MANISHA SAHU,bstarton17@nymag.com,9714128238,23110018,BioTech
